
Raw product moment correlation

AngleAB (deg), Rab, eq, neq, total count
0.0, 1.0, 505.0, 0.0, 505.0
22.5, 0.9714285714285714, 483.0, 7.0, 490.0
45.0, 0.7358490566037735, 368.0, 56.0, 424.0
67.5, 0.3023255813953488, 280.0, 150.0, 430.0
90.0, -0.0020876826722338203, 239.0, 240.0, 479.0
112.5, -0.37610619469026546, 141.0, 311.0, 452.0
135.0, -0.669683257918552, 73.0, 369.0, 442.0
157.5, -0.9469387755102041, 13.0, 477.0, 490.0
180.0, -1.0, 0.0, 528.0, 528.0
202.5, -0.9513184584178499, 12.0, 481.0, 493.0
225.0, -0.6940639269406392, 67.0, 371.0, 438.0
247.5, -0.27765237020316025, 160.0, 283.0, 443.0
270.0, 0.11512415349887133, 247.0, 196.0, 443.0
292.5, 0.3763440860215054, 320.0, 145.0, 465.0
315.0, 0.6607142857142857, 372.0, 76.0, 448.0
337.5, 0.9663157894736842, 467.0, 8.0, 475.0
360.0, 1.0, 0.0, 0.0, 0.0
Combination, dAngle, QM, RA1B1 
A1B1, 45.0, -0.71 , 0.74
A1B2, 135.0, 0.71, -0.67
A2B1, 45.0, -0.71, 0.74
A2B2, 45.0, -0.71 , 0.74
|R(A1B1) - R(A1B2) + R(A2B1) + R(A2B2)|,   2.88
